GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
4257.8616,598202,112,27,2018-04-06 00:00:00,321.982
629.1223,599301,112,3,2018-04-06 00:00:00,95.1758
485.2269,599401,112,3,2018-04-06 00:00:00,89.7308
1274.3971,600301,112,9,2018-04-06 00:00:00,89.0397
536.6676,600302,112,7,2018-04-06 00:00:00,63.8886
197.3905,600401,112,1,2018-04-06 00:00:00,31.8542
1623.2832,600402,112,10,2018-04-06 00:00:00,142.0
3006.2874,601301,112,26,2018-04-06 00:00:00,517.3492
698.5267,565302,112,13,2018-04-06 00:00:00,78.9643
602.1946,565401,112,11,2018-04-06 00:00:00,89.3329
761.2636,565402,112,11,2018-04-06 00:00:00,218.6071
4994.452,566101,112,23,2018-04-06 00:00:00,552.1773
3821.9945,566102,112,15,2018-04-06 00:00:00,293.787
4361.3293,566103,112,25,2018-04-06 00:00:00,570.196
4692.4982,566104,112,37,2018-04-06 00:00:00,491.4448
2341.311,566105,112,19,2018-04-06 00:00:00,317.6187
4503.2072,566201,112,56,2018-04-06 00:00:00,632.4963
14011.416,566202,112,77,2018-04-06 00:00:00,1344.5861
3348.6101,566203,112,22,2018-04-06 00:00:00,452.7308
3613.838,566204,112,19,2018-04-06 00:00:00,308.3807
1694.7804,566205,112,9,2018-04-06 00:00:00,136.0581
1656.6801,567101,112,18,2018-04-06 00:00:00,211.2254
6376.1632,567102,112,60,2018-04-06 00:00:00,580.3288
4940.2505,567103,112,33,2018-04-06 00:00:00,416.9741
8475.5932,567104,112,66,2018-04-06 00:00:00,724.1418
6572.7117,567105,112,39,2018-04-06 00:00:00,568.8123
5246.5017,567201,112,35,2018-04-06 00:00:00,390.6461
8824.1888,567202,112,67,2018-04-06 00:00:00,710.0038
7300.0937,567203,112,50,2018-04-06 00:00:00,928.9728
6666.5402,567204,112,60,2018-04-06 00:00:00,643.6843
2075.4028,567205,112,11,2018-04-06 00:00:00,306.501
419.7067,568301,112,7,2018-04-06 00:00:00,211.4621
5730.5758,568302,112,31,2018-04-06 00:00:00,553.3668
1049.4382,568303,112,6,2018-04-06 00:00:00,89.6718
4196.1507,568304,112,21,2018-04-06 00:00:00,385.8406
2138.6431,615403,112,21,2018-04-06 00:00:00,186.4487
128.63,615404,112,1,2018-04-06 00:00:00,63.4198
1896.5371,615405,112,20,2018-04-06 00:00:00,215.8767
3872.2784,615406,112,29,2018-04-06 00:00:00,321.9658
3574.2605,615407,112,22,2018-04-06 00:00:00,284.2567
4557.9476,615408,112,36,2018-04-06 00:00:00,397.9223
1873.3164,615409,112,18,2018-04-06 00:00:00,157.9437
2071.8675,615410,112,23,2018-04-06 00:00:00,215.6022
