GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
3223.5868,257423,10,16,2018-04-06 00:00:00,205.2244
2836.546,257424,10,20,2018-04-06 00:00:00,167.489
8390.4402,257425,10,40,2018-04-06 00:00:00,439.1464
6105.1946,257426,10,36,2018-04-06 00:00:00,323.7938
6918.9949,257427,10,35,2018-04-06 00:00:00,440.5843
8372.8659,257428,10,42,2018-04-06 00:00:00,414.6221
6959.1669,257429,10,48,2018-04-06 00:00:00,387.5152
4974.2394,257430,10,27,2018-04-06 00:00:00,298.9598
1301.071,258102,10,18,2018-04-06 00:00:00,182.5371
450.2468,258301,10,4,2018-04-06 00:00:00,62.7354
2183.3361,259201,10,11,2018-04-06 00:00:00,299.5549
253.8357,260301,10,2,2018-04-06 00:00:00,39.4035
97.8553,261301,10,2,2018-04-06 00:00:00,255.0
389.6665,261302,10,4,2018-04-06 00:00:00,46.6761
708.894,261303,10,9,2018-04-06 00:00:00,114.7946
234.8656,261401,10,3,2018-04-06 00:00:00,146.5556
814.763,261402,10,8,2018-04-06 00:00:00,156.8038
1443.549,261403,10,14,2018-04-06 00:00:00,220.8768
1359.2144,250101,10,11,2018-04-06 00:00:00,143.2683
184.8314,250102,10,4,2018-04-06 00:00:00,43.3788
530.9797,250103,10,7,2018-04-06 00:00:00,104.0312
842.3276,250201,10,15,2018-04-06 00:00:00,123.3493
2535.0648,250202,10,36,2018-04-06 00:00:00,302.7357
577.043,250203,10,5,2018-04-06 00:00:00,60.9138
2570.3091,251101,10,16,2018-04-06 00:00:00,211.7278
3098.3507,251102,10,29,2018-04-06 00:00:00,383.7384
2330.7847,251201,10,22,2018-04-06 00:00:00,185.5556
2111.2252,251202,10,21,2018-04-06 00:00:00,153.7033
5241.6497,252101,10,37,2018-04-06 00:00:00,445.2751
9149.896,252102,10,60,2018-04-06 00:00:00,571.2532
8498.3867,252103,10,83,2018-04-06 00:00:00,544.4316
1842.0545,252104,10,41,2018-04-06 00:00:00,228.486
3673.6825,252105,10,33,2018-04-06 00:00:00,401.9111
1422.714,252106,10,19,2018-04-06 00:00:00,138.8584
773.5827,252107,10,10,2018-04-06 00:00:00,61.7226
369.1487,252108,10,4,2018-04-06 00:00:00,25.9917
1252.9894,252201,10,17,2018-04-06 00:00:00,110.7415
355.3664,252202,10,13,2018-04-06 00:00:00,141.096
1158.0654,262303,10,18,2018-04-06 00:00:00,178.7999
552.486,262304,10,5,2018-04-06 00:00:00,58.313
280.6623,262305,10,3,2018-04-06 00:00:00,19.5421
592.4587,262401,10,4,2018-04-06 00:00:00,50.5931
549.3233,262402,10,5,2018-04-06 00:00:00,47.7344
471.7436,262403,10,5,2018-04-06 00:00:00,48.3101
485.2137,262404,10,9,2018-04-06 00:00:00,51.5867
1284.9084,262405,10,15,2018-04-06 00:00:00,170.6367
89.6447,263101,10,2,2018-04-06 00:00:00,51.4444
1125.5927,265101,10,15,2018-04-06 00:00:00,150.0774
534.7931,265102,10,7,2018-04-06 00:00:00,72.4301
834.2311,265201,10,12,2018-04-06 00:00:00,95.1087
229.4796,265202,10,2,2018-04-06 00:00:00,28.2954
523.0751,267404,10,3,2018-04-06 00:00:00,77.162
1373.2795,269401,10,7,2018-04-06 00:00:00,154.196
230.794,270101,10,3,2018-04-06 00:00:00,25.667
235.1712,270102,10,4,2018-04-06 00:00:00,81.3658
357.4237,270201,10,4,2018-04-06 00:00:00,57.0154
870.7139,270202,10,8,2018-04-06 00:00:00,79.1493
1108.1641,271301,10,6,2018-04-06 00:00:00,116.8762
460.0925,271302,10,8,2018-04-06 00:00:00,54.068
521.403,271303,10,7,2018-04-06 00:00:00,55.4372
194.3159,271402,10,3,2018-04-06 00:00:00,17.5345
86.6684,272301,10,4,2018-04-06 00:00:00,26.9593
2315.7008,273101,10,18,2018-04-06 00:00:00,226.2282
527.8766,273201,10,6,2018-04-06 00:00:00,95.5236
179.9467,274201,10,2,2018-04-06 00:00:00,24.0386
731.1269,275101,10,7,2018-04-06 00:00:00,69.4883
1421.3147,275102,10,12,2018-04-06 00:00:00,155.8017
786.6828,275103,10,10,2018-04-06 00:00:00,76.6828
1322.1508,275201,10,14,2018-04-06 00:00:00,259.1154
251.7416,275202,10,4,2018-04-06 00:00:00,54.4147
1247.7946,275203,10,15,2018-04-06 00:00:00,144.0823
922.2256,275204,10,6,2018-04-06 00:00:00,149.7953
1139.555,275205,10,12,2018-04-06 00:00:00,83.4762
297.3103,276302,10,6,2018-04-06 00:00:00,106.9127
1185.0081,276303,10,8,2018-04-06 00:00:00,193.6108
293.9367,277301,10,6,2018-04-06 00:00:00,104.1726
647.0565,277303,10,8,2018-04-06 00:00:00,82.23
741.2325,277304,10,14,2018-04-06 00:00:00,124.247
601.2541,277305,10,8,2018-04-06 00:00:00,99.1907
699.8044,277306,10,8,2018-04-06 00:00:00,85.8347
2053.0526,277401,10,25,2018-04-06 00:00:00,243.7302
420.4193,277402,10,6,2018-04-06 00:00:00,50.4922
6165.8758,257307,10,38,2018-04-06 00:00:00,331.9668
2396.5565,257308,10,14,2018-04-06 00:00:00,127.6139
6807.0353,257309,10,41,2018-04-06 00:00:00,454.7802
4859.1434,257310,10,25,2018-04-06 00:00:00,285.5261
2130.3022,257311,10,9,2018-04-06 00:00:00,143.0959
2740.095,257312,10,13,2018-04-06 00:00:00,149.6572
5492.5919,257313,10,32,2018-04-06 00:00:00,346.3857
2215.6887,257314,10,9,2018-04-06 00:00:00,119.7398
2012.5398,257315,10,10,2018-04-06 00:00:00,111.0219
1517.7931,257316,10,8,2018-04-06 00:00:00,80.0351
2291.9123,257317,10,11,2018-04-06 00:00:00,110.5016
11347.9605,257318,10,56,2018-04-06 00:00:00,635.6858
6881.0086,257319,10,33,2018-04-06 00:00:00,404.4668
3714.4945,257320,10,20,2018-04-06 00:00:00,205.3489
8630.3534,257321,10,50,2018-04-06 00:00:00,486.8481
6292.8447,257322,10,25,2018-04-06 00:00:00,376.8588
3509.6401,257323,10,18,2018-04-06 00:00:00,203.2124
4647.8531,257324,10,21,2018-04-06 00:00:00,306.798
