GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME,TYPE,ROADSECT_NAME,SECT10,SECT10_NAME,ROADSECT_FROM,ROAD_NO,ROADSECT_TO,ROADLENGTH,DIRNAME,JAM_SPEED,avg_len,avg_time,v1,v2,is_congested
4064.7849,145314,27,52,2018/4/6 0:00,432.0439,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,78.16894038461538,8.308536538461539,9.408268233853088,33.86976564187112,0
2865.8353,145314,28,35,2018/4/6 0:00,216.6788,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,81.88100857142858,6.190822857142857,13.226191487122877,47.614289353642356,0
4146.6497,145314,29,54,2018/4/6 0:00,369.6443,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,76.78980925925926,6.845264814814815,11.217945738646584,40.3846046591277,0
2033.2751,145314,30,29,2018/4/6 0:00,160.919,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,70.11293448275862,5.548931034482759,12.635394825968342,45.487421373486036,0
1220.651,145314,31,15,2018/4/6 0:00,73.7407,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,81.37673333333333,4.916046666666667,16.553287397597256,59.591834631350125,0
3088.4174,145314,32,40,2018/4/6 0:00,319.4495,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,77.21043499999999,7.9862375,9.667936246574184,34.804570487667064,0
2884.9743,145314,33,38,2018/4/6 0:00,225.1774,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,75.92037631578947,5.925721052631579,12.812006444696491,46.12322320090737,0
2941.3804,145314,34,37,2018/4/6 0:00,251.7345,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,79.49676756756757,6.803635135135135,11.684454852235193,42.0640374680467,0
1931.3662,145314,35,31,2018/4/6 0:00,163.2575,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,62.30213548387096,5.266370967741936,11.830183605653644,42.58866098035312,0
2563.3669,145314,36,35,2018/4/6 0:00,204.5028,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,73.23905428571429,5.842937142857143,12.534629843698962,45.12466743731626,0
643.4331,145314,37,12,2018/4/6 0:00,103.2193,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,53.619425,8.601608333333333,6.233651071069073,22.441143855848665,0
1901.2963,145314,38,25,2018/4/6 0:00,141.7647,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,76.051852,5.670588,13.411634207951625,48.28188314862585,0
2787.3346,145314,39,30,2018/4/6 0:00,284.2836,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,92.91115333333333,9.47612,9.804767492743162,35.29716297387538,0
802.4388,145314,40,13,2018/4/6 0:00,94.1979,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,61.726061538461536,7.245992307692308,8.518648504902975,30.66713461765071,0
3185.1706,145314,41,34,2018/4/6 0:00,260.9846,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,93.68148823529411,7.676017647058823,12.204438882600735,43.93597997736265,0
918.5046,145314,42,16,2018/4/6 0:00,101.7566,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,57.4065375,6.3597875,9.026486734030028,32.495352242508105,0
1119.1306,145314,43,14,2018/4/6 0:00,100.6437,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,79.9379,7.188835714285714,11.119728308875766,40.031021911952756,0
145.8514,145314,44,3,2018/4/6 0:00,9.3868,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,48.617133333333335,3.128933333333333,15.537925597647764,55.93653215153195,0
1075.0814,145314,45,13,2018/4/6 0:00,146.8567,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,82.69856923076924,11.29666923076923,7.320615266446817,26.35421495920854,0
1680.9188,145314,46,17,2018/4/6 0:00,145.5177,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,98.87757647058822,8.559864705882353,11.5513013193584,41.58468474969024,0
2282.655,145314,47,27,2018/4/6 0:00,185.7766,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,84.54277777777779,6.880614814814815,12.287096437333874,44.23354717440195,0
538.6244,145314,48,8,2018/4/6 0:00,45.0592,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,67.32805,5.6324,11.953705347631562,43.03333925147363,0
1668.4344,145314,49,22,2018/4/6 0:00,110.5625,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,75.83792727272727,5.025568181818182,15.090418541548898,54.325506749576036,0
3520.8046,145314,50,38,2018/4/6 0:00,271.5262,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,92.65275263157895,7.145426315789474,12.966721443455548,46.68019719643997,0
2693.0865,145314,51,27,2018/4/6 0:00,286.7359,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,99.74394444444444,10.619848148148149,9.392219460486112,33.81199005775,0
3168.6739,145314,52,39,2018/4/6 0:00,315.8269,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,81.2480487179487,8.098125641025641,10.032944945474878,36.11860180370956,0
1768.7312,145314,53,18,2018/4/6 0:00,147.3044,3,宝安大道,5,宝安区,疏港通道,1453,机场南路,929,南-北,20,98.26284444444444,8.183577777777778,12.007320894691537,43.22635522088953,0
