GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME,TYPE,ROADSECT_NAME,SECT10,SECT10_NAME,ROADSECT_FROM,ROAD_NO,ROADSECT_TO,ROADLENGTH,DIRNAME,JAM_SPEED,avg_len,avg_time,v1,v2,is_congested
5197.6236,144304,1,44,2018/4/6 0:00,381.0911,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,118.12780909090908,8.661161363636364,13.638795553084288,49.099663991103434,0
11746.3191,144304,2,84,2018/4/6 0:00,1108.8291,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,139.83713214285714,13.200346428571427,10.59344411145054,38.136398801221944,0
2097.5371,144304,3,19,2018/4/6 0:00,163.3171,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,110.3966894736842,8.595636842105264,12.843340348316248,46.23602525393849,0
2704.1467,144304,4,23,2018/4/6 0:00,245.4995,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,117.5715956521739,10.673891304347826,11.014876608709995,39.653555791355984,0
4873.6057,144304,5,33,2018/4/6 0:00,430.5817,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,147.68502121212123,13.047930303030304,11.318654973028348,40.74715790290205,0
7534.5651,144304,6,55,2018/4/6 0:00,732.0961,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,136.99209272727273,13.310838181818182,10.29177057492862,37.050374069743036,0
2156.0388,144304,7,15,2018/4/6 0:00,317.1959,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,143.73592,21.146393333333332,6.797183696258369,24.469861306530127,0
3651.8987,144304,8,27,2018/4/6 0:00,295.3058,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,135.2555074074074,10.937251851851851,12.366498389127475,44.51939420085891,0
4247.7931,144304,9,30,2018/4/6 0:00,432.3902,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,141.59310333333332,14.413006666666666,9.823980978292292,35.36633152185225,0
4526.189,144304,10,34,2018/4/6 0:00,469.0121,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,133.12320588235295,13.794473529411764,9.650473836389297,34.741705811001474,0
2129.7831,144304,11,18,2018/4/6 0:00,272.791,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,118.32128333333334,15.155055555555556,7.8073803754522695,28.10656935162817,0
4021.6478,144304,12,31,2018/4/6 0:00,279.376,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,129.7305741935484,9.012129032258064,14.395108384399519,51.822390183838266,0
3556.7593,144304,13,32,2018/4/6 0:00,557.7826,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,111.148728125,17.43070625,6.376604971184114,22.95577789626281,0
3097.1316,144304,14,26,2018/4/6 0:00,312.1457,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,119.12044615384616,12.005603846153845,9.922070366498723,35.719453319395406,0
1568.5876,144304,15,11,2018/4/6 0:00,110.908,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,142.59887272727272,10.082545454545455,14.143142063692428,50.91531142929274,0
2172.3626,144304,16,15,2018/4/6 0:00,211.3242,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,144.82417333333333,14.08828,10.279762563871058,37.00714522993581,0
2481.1805,144304,17,19,2018/4/6 0:00,156.4914,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,130.58844736842104,8.236389473684211,15.855059766862587,57.07821516070531,0
823.0115,144304,18,6,2018/4/6 0:00,63.8288,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,137.16858333333332,10.638133333333334,12.894046261248839,46.418566540495824,0
1751.7365,144304,19,18,2018/4/6 0:00,136.2146,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,97.31869444444445,7.5674777777777775,12.860122923680722,46.2964425252506,0
2291.2749,144304,20,20,2018/4/6 0:00,174.7014,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,114.563745,8.73507,13.115378010708557,47.21536083855081,0
1476.3506,144304,21,9,2018/4/6 0:00,118.2135,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,164.03895555555556,13.134833333333333,12.488849412292167,44.959857884251804,0
1415.7006,144304,22,9,2018/4/6 0:00,99.7373,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,157.30006666666665,11.081922222222223,14.194294411418795,51.09945988110766,0
958.1895,144304,23,6,2018/4/6 0:00,90.2052,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,159.69825,15.0342,10.622331085125913,38.24039190645328,0
2573.2182,144304,24,22,2018/4/6 0:00,171.4949,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,116.96446363636363,7.795222727272727,15.004633957044787,54.01668224536123,0
1733.1637,144304,25,13,2018/4/6 0:00,134.1545,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,133.32028461538462,10.319576923076925,12.919161861883126,46.50898270277926,0
1874.28,144304,26,14,2018/4/6 0:00,151.7294,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,133.87714285714284,10.837814285714286,12.352780674015714,44.47001042645657,0
914.9124,144304,27,8,2018/4/6 0:00,106.449,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,114.36405,13.306125,8.594842600682018,30.941433362455264,0
2071.3296,144304,28,16,2018/4/6 0:00,186.8148,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,129.4581,11.675925,11.087609761111004,39.91539513999962,0
2984.3709,144304,29,23,2018/4/6 0:00,304.0909,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,129.7552565217391,13.221343478260868,9.814075001915546,35.330670006895964,0
152.0427,144304,30,2,2018/4/6 0:00,27.6954,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,76.02135,13.8477,5.489817803678589,19.76334409324292,1
302.6123,144304,31,3,2018/4/6 0:00,25.2178,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,100.87076666666667,8.405933333333333,11.999948449111342,43.199814416800834,0
80.8768,144304,32,1,2018/4/6 0:00,10.9931,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,80.8768,10.9931,7.357051241233138,26.485384468439296,0
3125.3214,144304,33,25,2018/4/6 0:00,285.9252,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,125.012856,11.437008,10.930555963587679,39.35000146891564,0
1520.8859,144304,34,12,2018/4/6 0:00,109.6213,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,126.74049166666667,9.135108333333333,13.873999852218502,49.94639946798661,0
838.4534,144304,36,6,2018/4/6 0:00,60.5148,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,139.74223333333333,10.0858,13.85534447771454,49.87924011977235,0
1550.6663,144304,37,12,2018/4/6 0:00,105.4234,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,129.22219166666667,8.785283333333334,14.708938433023409,52.952178358884275,0
895.3703,144304,38,7,2018/4/6 0:00,95.4218,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,127.91004285714287,13.631685714285714,9.383288724379545,33.77983940776636,0
353.7294,144304,39,1,2018/4/6 0:00,26.6654,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,353.7294,26.6654,13.265482610423994,47.75573739752638,0
12.1183,144304,41,1,2018/4/6 0:00,3.7414,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,12.1183,3.7414,3.238974715347196,11.660308975249906,1
2370.6093,144304,42,17,2018/4/6 0:00,235.4702,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,139.44760588235295,13.851188235294117,10.067555469864129,36.24319969151087,0
896.7978,144304,44,8,2018/4/6 0:00,65.7324,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,112.099725,8.21655,13.643162276137796,49.115384194096066,0
2478.0465,144304,45,19,2018/4/6 0:00,174.0536,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,130.4235,9.160715789473684,14.237260820804625,51.25413895489665,0
2429.0467,144304,46,17,2018/4/6 0:00,191.8542,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,142.8851,11.285541176470588,12.660899266213614,45.57923735836901,0
2584.5231,144304,47,18,2018/4/6 0:00,186.4942,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,143.58461666666665,10.360788888888889,13.858463694849489,49.89046930145816,0
268.369,144304,48,2,2018/4/6 0:00,20.0713,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,134.1845,10.03565,13.370783158041583,48.1348193689497,0
838.4534,144304,50,6,2018/4/6 0:00,67.9616,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,139.74223333333333,11.326933333333335,12.337163927865145,44.413790140314525,0
894.7103,144304,51,7,2018/4/6 0:00,99.2674,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,127.81575714285714,14.181057142857142,9.013133213925217,32.44727957013078,0
2172.7898,144304,52,16,2018/4/6 0:00,133.0606,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,135.7993625,8.3162875,16.329325134562747,58.78557048442589,0
1485.5946,144304,53,14,2018/4/6 0:00,114.2424,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,106.11389999999999,8.160171428571429,13.00388122098275,46.8139723955379,0
2103.2835,144304,54,16,2018/4/6 0:00,203.5535,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,131.45521875,12.72209375,10.33282896142783,37.19818426114019,0
907.8933,144304,55,8,2018/4/6 0:00,79.9566,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,113.4866625,9.994575,11.354826243236957,40.87737447565305,0
425.8689,144304,56,3,2018/4/6 0:00,23.0271,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,141.9563,7.6757,18.49424808160819,66.57929309378949,0
873.9152,144304,57,7,2018/4/6 0:00,63.6976,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,124.84502857142857,9.099657142857144,13.719750822636959,49.391102961493054,0
268.369,144304,58,2,2018/4/6 0:00,18.1735,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,134.1845,9.08675,14.767050925798554,53.16138333287479,0
1900.5606,144304,59,17,2018/4/6 0:00,142.1001,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,111.79768235294118,8.358829411764706,13.374801284446669,48.14928462400801,0
2257.0683,144304,60,18,2018/4/6 0:00,200.6266,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,125.39268333333332,11.145922222222222,11.250094952513773,40.50034182904959,0
1382.457,144304,61,8,2018/4/6 0:00,100.5091,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,172.807125,12.5636375,13.754545608308105,49.516364189909176,0
860.7211,144304,62,7,2018/4/6 0:00,114.6512,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,122.96015714285714,16.378742857142857,7.507301275520884,27.026284591875186,0
1026.5789,144304,64,8,2018/4/6 0:00,65.3669,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,128.3223625,8.1708625,15.704873567508937,56.53754484303217,0
2622.9271,144304,67,21,2018/4/6 0:00,247.2286,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,124.90129047619047,11.772790476190476,10.60931906745417,38.19354864283501,0
61.0996,144304,68,2,2018/4/6 0:00,6.9404,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,30.5498,3.4702,8.80346954066048,31.692490346377728,0
565.9333,144304,69,8,2018/4/6 0:00,38.1208,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,70.7416625,4.7651,14.84578760151938,53.44483536546977,0
675.7208,144304,70,5,2018/4/6 0:00,67.0796,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,135.14416,13.41592,10.073417253531625,36.26430211271385,0
894.7103,144304,71,7,2018/4/6 0:00,167.2671,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,127.81575714285714,23.8953,5.34899152313874,19.256369483299466,1
2462.6764,144304,72,19,2018/4/6 0:00,231.4072,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,129.61454736842106,12.179326315789472,10.642177080056284,38.31183748820262,0
882.7964,144304,73,7,2018/4/6 0:00,74.6274,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,126.11377142857143,10.661057142857143,11.829387061588639,42.5857934217191,0
1334.1172,144304,74,11,2018/4/6 0:00,102.8015,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,121.28338181818181,9.345590909090909,12.977604412386977,46.71937588459312,0
861.9132,144304,75,7,2018/4/6 0:00,79.5628,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,123.13045714285714,11.366114285714286,10.833117989814335,38.999224763331604,0
2627.874,144304,76,20,2018/4/6 0:00,333.1165,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,131.3937,16.655825,7.888753634239072,28.39951308326066,0
47.7284,144304,77,1,2018/4/6 0:00,66.3783,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,47.7284,66.3783,0.7190361910443624,2.588530287759705,1
2387.9194,144304,78,20,2018/4/6 0:00,188.0945,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,119.39597,9.404725000000001,12.695317513271254,45.703143047776514,0
1733.1637,144304,79,13,2018/4/6 0:00,165.4994,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,133.32028461538462,12.730723076923077,10.47232618365988,37.700374261175575,0
0.0,144304,80,0,2018/4/6 0:00,0.0,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,,,,,0
1110.1513,144304,81,7,2018/4/6 0:00,88.8144,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,158.59304285714285,12.687771428571429,12.499676854203821,44.99883667513376,0
3674.246,144304,82,27,2018/4/6 0:00,366.3715,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,136.0831851851852,13.569314814814815,10.028744048049589,36.103478572978524,0
2648.5369,144304,83,20,2018/4/6 0:00,270.408,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,132.42684500000001,13.5204,9.794595204283898,35.260542735422035,0
2489.326,144304,84,17,2018/4/6 0:00,257.3648,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,146.43094117647058,15.139105882352942,9.672363897471604,34.82051003089777,0
2004.0218,144304,85,15,2018/4/6 0:00,154.8174,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,133.60145333333332,10.321159999999999,12.94442226778127,46.59992016401257,0
3359.0002,144304,86,22,2018/4/6 0:00,329.2173,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,152.68182727272728,14.964422727272728,10.202988117574623,36.73075722326865,0
1246.5165,144304,87,11,2018/4/6 0:00,144.1542,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,113.31968181818182,13.104927272727274,8.647104975089174,31.12957791032103,0
3653.2891,144304,88,29,2018/4/6 0:00,297.3418,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,125.97548620689655,10.253165517241378,12.286496886747845,44.23138879229224,0
3754.3115,144304,89,31,2018/4/6 0:00,283.2401,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,121.10682258064516,9.136777419354837,13.254872809323258,47.71754211356373,0
3692.0065,144304,90,27,2018/4/6 0:00,352.0239,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,136.74098148148147,13.037922222222223,10.487942722070859,37.75659379945509,0
4836.6191,144304,91,37,2018/4/6 0:00,567.2998,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,130.71943513513514,15.332427027027027,8.525684479352893,30.692464125670416,0
1144.4664,144304,92,14,2018/4/6 0:00,110.9738,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,81.7476,7.926699999999999,10.312942334136528,37.126592402891504,0
2901.8697,144304,93,26,2018/4/6 0:00,254.2254,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,111.61037307692308,9.7779,11.41455456457144,41.092396432457186,0
2813.4502,144304,94,20,2018/4/6 0:00,211.7549,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,140.67251000000002,10.587745,13.286352287479536,47.83086823492633,0
2634.0797,144304,95,23,2018/4/6 0:00,204.9503,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,114.52520434782608,8.910882608695653,12.85228516376897,46.26822658956829,0
4691.7098,144304,96,35,2018/4/6 0:00,445.8444,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,134.04885142857142,12.738411428571428,10.523200022249915,37.88352008009969,0
1630.2658,144304,97,10,2018/4/6 0:00,114.7759,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,163.02658,11.47759,14.203903432689268,51.13405235768136,0
3948.9427,144304,98,29,2018/4/6 0:00,373.6308,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,136.17043793103448,12.883820689655174,10.569103778382296,38.04877360217627,0
2648.6906,144304,99,22,2018/4/6 0:00,356.5754,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,120.39502727272726,16.20797272727273,7.4281360968816115,26.7412899487738,0
4188.8576,144304,100,33,2018/4/6 0:00,326.9571,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,126.9350787878788,9.90779090909091,12.811642873025239,46.12191434289086,0
5255.7089,144304,101,38,2018/4/6 0:00,443.127,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,138.3081289473684,11.661236842105263,11.860502519593705,42.69780907053734,0
7159.5609,144304,102,53,2018/4/6 0:00,548.9066,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,135.08605471698115,10.356728301886793,13.043313561906526,46.9559288228635,0
2912.9007,144304,103,24,2018/4/6 0:00,309.1834,3,月亮湾大道,3,南山区,东滨路,1443,桂庙路,895,南-北,20,121.3708625,12.882641666666666,9.42127132310467,33.91657676317681,0
